StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2,Q2_67_TEXT,Q20,Q20_21_TEXT,Q16,Q16_42_TEXT,Q17,Q19,Q19_9_TEXT,Q18,Q18_6_TEXT,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q3_7,Q3_8,Q3_9,Q3_10,Q4_First Click,Q4_Last Click,Q4_Page Submit,Q4_Click Count,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q5_6,Q5_7,Q5_8,Q5_9,Q5_10,Q6_First Click,Q6_Last Click,Q6_Page Submit,Q6_Click Count,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q9_6,Q9_7,Q9_8,Q9_9,Q9_10,Q8_First Click,Q8_Last Click,Q8_Page Submit,Q8_Click Count,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q11_7,Q11_8,Q11_9,Q11_10,Q10_First Click,Q10_Last Click,Q10_Page Submit,Q10_Click Count,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q12_6,Q12_7,Q12_8,Q12_9,Q12_10,Q13_First Click,Q13_Last Click,Q13_Page Submit,Q13_Click Count
9/15/2020 22:04,9/15/2020 22:07,IP Address,72.76.208.110,100,179,TRUE,9/15/2020 22:07,R_1MVVOqZrxnLSz9U,,,,,40.71800232,-74.07330322,anonymous,EN,Analyst,,Finance,,"Seattle, WA",,Male,Engineering,,India,,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Disagree,Disagree,Agree,4.543,29.516,29.561,14,Agree,Neutral,Neutral,Agree,Disagree,Agree,Neutral,Agree,Agree,Agree,4.336,23.857,25.869,12,Neutral,Agree,Neutral,Disagree,Agree,Agree,Agree,Neutral,Neutral,Agree,1.073,29.647,30.671,17,Disagree,Agree,Neutral,Neutral,Disagree,Disagree,Agree,Agree,Disagree,Neutral,1.856,25.386,26.296,15,Neutral,Disagree,Neutral,Neutral,Neutral,Neutral,Agree,Disagree,Neutral,Agree,2.809,22.2,23.136,12
9/15/2020 22:05,9/15/2020 22:08,IP Address,73.55.230.26,100,157,TRUE,9/15/2020 22:08,R_RbnwfQs7kh34KGt,,,,,29.69180298,-95.65260315,anonymous,EN,Data Scientist/Engineer,,Finance,,"Chicago, IL",,Male,Engineering,,India,,Somewhat Disagree,Neutral,Neutral,Somewhat Agree,Neutral,Neutral,Agree,Agree,Somewhat Agree,Agree,4.517,27.777,28.922,11,Neutral,Neutral,Somewhat Agree,Neutral,Neutral,Neutral,Somewhat Agree,Somewhat Disagree,Neutral,Neutral,4.363,26.889,27.852,10,Somewhat Agree,Neutral,Neutral,Somewhat Disagree,Neutral,Somewhat Disagree,Somewhat Agree,Neutral,Neutral,Agree,3.62,26.124,26.978,11,Neutral,Somewhat Agree,Neutral,Agree,Neutral,Neutral,Disagree,Disagree,Disagree,Disagree,2.19,19.333,21.781,10,Neutral,Neutral,Agree,Agree,Agree,Disagree,Agree,Neutral,Agree,Somewhat Agree,3.006,25.156,25.925,12
9/15/2020 22:03,9/15/2020 22:09,IP Address,24.15.55.31,100,325,TRUE,9/15/2020 22:09,R_3kzE6bnvJrxlbDf,,,,,41.24369812,-85.85279846,anonymous,EN,Analyst,,Supply Chain,,Prefer to not respond,,Female,Computer Science,,India,,Somewhat Agree,Somewhat Disagree,Agree,Somewhat Disagree,Somewhat Agree,Disagree,Agree,Neutral,Somewhat Agree,Somewhat Disagree,9.899,67.168,68.055,15,Disagree,Agree,Disagree,Agree,Disagree,Somewhat Agree,Disagree,Agree,Agree,Agree,9.026,28.675,29.261,12,Somewhat Agree,Disagree,Agree,Disagree,Agree,Somewhat Disagree,Somewhat Agree,Disagree,Agree,Agree,1.528,47.427,48.597,13,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Disagree,Disagree,Disagree,Disagree,Somewhat Disagree,Disagree,1.829,34.429,35.451,17,Neutral,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Disagree,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Agree,4.235,42.175,43.147,18
9/15/2020 22:10,9/15/2020 22:14,IP Address,76.233.66.251,100,189,TRUE,9/15/2020 22:14,R_BMooW6Hp1JjBVPb,,,,,32.82090759,-97.17649841,anonymous,EN,Developer,,Other,Identity and Access Management,"Dallas, TX",,Male,Other,Civil Engineering,Other,Nepal,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Neutral,Neutral,Disagree,Agree,Somewhat Agree,5.271,30.669,31.965,10,Somewhat Disagree,Agree,Neutral,Somewhat Agree,Neutral,Somewhat Agree,Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,4.195,29.164,30.438,10,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Neutral,Somewhat Agree,Agree,3.209,26.068,35.393,11,Somewhat Agree,Disagree,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Agree,Neutral,Neutral,Somewhat Agree,Somewhat Agree,3.191,21.129,21.634,12,Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Disagree,Somewhat Agree,Somewhat Agree,1.579,23.468,24.256,10
9/15/2020 22:10,9/15/2020 22:17,IP Address,73.102.133.194,100,394,TRUE,9/15/2020 22:17,R_1CdTgkB0n0b1uYC,,,,,41.04919434,-85.30400085,anonymous,EN,Analyst,,Marketing,,"Fort Wayne, IN",,Male,Engineering,,India,,Neutral,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Neutral,Neutral,Agree,Neutral,9.01,79.998,81.217,21,Somewhat Agree,Somewhat Agree,Disagree,Somewhat Agree,Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,1.694,53.799,54.747,19,Somewhat Disagree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Neutral,Neutral,1.123,76.294,77.182,17,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,1.995,40.012,41.331,22,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Neutral,Somewhat Agree,Neutral,Somewhat Disagree,Neutral,Neutral,2.529,66.082,67.317,19
9/15/2020 22:14,9/15/2020 22:17,IP Address,24.6.111.110,100,204,TRUE,9/15/2020 22:17,R_1K7rzqmr4yd4xts,,,,,37.5625,-122.0003967,anonymous,EN,Consultant,,Supply Chain,,"San Bruno, CA",,Male,Engineering,,India,,Neutral,Somewhat Disagree,Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Neutral,Somewhat Agree,Neutral,3.941,46.544,47.541,30,Disagree,Agree,Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Agree,1.837,23.002,23.842,14,Somewhat Disagree,Somewhat Disagree,Agree,Neutral,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Neutral,1.764,29.424,30.334,17,Disagree,Neutral,Neutral,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Disagree,Neutral,Somewhat Disagree,Neutral,1.543,16.497,17.258,14,Neutral,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Agree,1.076,18.968,19.853,14
9/15/2020 22:14,9/15/2020 22:18,IP Address,98.32.94.81,100,263,TRUE,9/15/2020 22:18,R_RyiI8mlV89yqL8l,,,,,40.50840759,-111.8837967,anonymous,EN,Consultant,,Consulting,,"San Francisco, CA",,Male,Engineering,,India,,Somewhat Agree,Somewhat Disagree,Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Neutral,Somewhat Disagree,Somewhat Agree,6.236,56.315,57.77,14,Somewhat Disagree,Neutral,Disagree,Agree,Neutral,Somewhat Disagree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Agree,4.441,41.698,42.24,16,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Neutral,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,2.217,35.442,36.386,16,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Disagree,Disagree,Somewhat Disagree,Disagree,Disagree,2.134,48.601,49.945,16,Neutral,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Agree,2.585,32.531,33.792,12
9/15/2020 22:17,9/15/2020 22:21,IP Address,73.170.87.160,100,256,TRUE,9/15/2020 22:21,R_1IazPmATtPezJHH,,,,,37.37730408,-122.0194016,anonymous,EN,Analyst,,Finance,,"San Jose, CA",,Female,Other,,India,,Neutral,Somewhat Agree,Somewhat Agree,Disagree,Somewhat Agree,Disagree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Agree,1.349,46.681,47.791,13,Disagree,Somewhat Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Somewhat Agree,Agree,7.498,39.001,40.238,11,Somewhat Agree,Somewhat Disagree,Agree,Disagree,Somewhat Agree,Disagree,Agree,Disagree,Agree,Neutral,4.308,62.83,63.683,11,Disagree,Somewhat Agree,Neutral,Somewhat Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,4.387,25.851,29.096,12,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Disagree,Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,3.234,31.178,31.877,11
9/15/2020 22:10,9/15/2020 22:22,IP Address,68.43.245.82,100,759,TRUE,9/15/2020 22:22,R_3oGcfnw6miFY5kd,,,,,42.33129883,-83.46559906,anonymous,EN,Consultant,,Consulting,,Other,,Female,Engineering,,India,,Neutral,Somewhat Disagree,Agree,Somewhat Disagree,Agree,Disagree,Somewhat Agree,Somewhat Disagree,Agree,Somewhat Disagree,9.168,75.031,76.501,22,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,5.991,37.254,38.608,12,Disagree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Agree,Somewhat Agree,Disagree,Somewhat Agree,6.801,78.238,81.619,14,Agree,Disagree,Agree,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Disagree,4.412,40.724,40.76,13,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Neutral,Agree,Somewhat Disagree,5.172,102.546,108.484,18
9/15/2020 22:21,9/15/2020 22:25,IP Address,66.253.158.26,100,196,TRUE,9/15/2020 22:25,R_1C89DVvUK2Cdxwq,,,,,40.44439697,-86.92559814,anonymous,EN,Business Intelligence,,Technology,,Other,"West Lafayette, IN",Male,Engineering,,India,,Neutral,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Neutral,Disagree,Neutral,Neutral,Somewhat Agree,Somewhat Disagree,6.33,32.347,33.153,10,Disagree,Somewhat Disagree,Somewhat Disagree,Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,2.42,25.817,26.933,11,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Neutral,Neutral,Somewhat Agree,Disagree,Somewhat Agree,Somewhat Agree,2.777,21.385,22.147,12,Neutral,Neutral,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Disagree,Disagree,Disagree,Disagree,Somewhat Disagree,2.636,26.692,36.717,13,Agree,Somewhat Disagree,Neutral,Somewhat Disagree,Neutral,Neutral,Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,1.759,24.504,25.089,10
9/15/2020 22:22,9/15/2020 22:27,IP Address,24.188.49.143,100,332,TRUE,9/15/2020 22:27,R_1o0U8X8Ik4ik9UI,,,,,40.55110168,-74.46060181,anonymous,EN,Analyst,,Marketing,,New Jersey,,Female,Other,Urban Study,China,,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Neutral,Neutral,Somewhat Agree,Neutral,40.08,95.152,96.292,14,Neutral,Agree,Disagree,Somewhat Agree,Somewhat Disagree,Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,6.836,35.531,36.523,11,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Neutral,Somewhat Agree,Agree,Disagree,Neutral,Somewhat Agree,4.671,57.509,58.594,10,Neutral,Somewhat Agree,Agree,Somewhat Disagree,Agree,Agree,Agree,Agree,Agree,Somewhat Disagree,4.266,23.549,24.654,10,Somewhat Disagree,Agree,Somewhat Agree,Somewhat Agree,Neutral,Neutral,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Neutral,3.249,30.311,31.4,11
9/15/2020 22:25,9/15/2020 22:28,IP Address,67.160.192.126,100,192,TRUE,9/15/2020 22:28,R_3e81Ziu5fmKjCcR,,,,,37.43710327,-121.895401,anonymous,EN,Business Intelligence,,Other,,"Seattle, WA",,Male,Computer Science,,India,,Neutral,Neutral,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neutral,Neutral,7.838,62.467,63.7,20,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Somewhat Disagree,Neutral,Neutral,2.377,14.957,15.936,12,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,3.068,11.772,12.771,12,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Somewhat Disagree,Somewhat Disagree,Neutral,0.916,12.399,13.46,12,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Neutral,Neutral,1.976,12.928,13.972,13
9/15/2020 22:29,9/15/2020 22:33,IP Address,136.27.9.154,100,206,TRUE,9/15/2020 22:33,R_3ssOgjf8rAAplQb,,,,,47.61439514,-122.344696,anonymous,EN,Data Scientist/Engineer,,Technology,,"Seattle, WA",,Male,Engineering,,India,,Somewhat Agree,Somewhat Agree,Agree,Disagree,Neutral,Somewhat Disagree,Neutral,Somewhat Agree,Agree,Neutral,4.358,46.01,47.137,17,Neutral,Neutral,Disagree,Neutral,Neutral,Neutral,Neutral,Agree,Somewhat Agree,Somewhat Agree,7.692,30.371,31.782,16,Agree,Agree,Agree,Somewhat Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,1.101,23.763,24.72,16,Disagree,Agree,Disagree,Neutral,Neutral,Disagree,Disagree,Disagree,Somewhat Agree,Disagree,1.738,33.047,33.987,17,Disagree,Disagree,Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Agree,2.024,28.61,30.344,17
9/15/2020 22:36,9/15/2020 22:40,IP Address,73.97.23.33,100,253,TRUE,9/15/2020 22:40,R_2ctmaXjzqrTNzJo,,,,,47.60920715,-122.1167984,anonymous,EN,Other,Product management,Technology,,"Seattle, WA",,Female,Engineering,,India,,Neutral,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Neutral,Somewhat Disagree,Somewhat Agree,Neutral,Neutral,Somewhat Disagree,4.501,37.346,38.769,14,Somewhat Agree,Neutral,Disagree,Agree,Somewhat Disagree,Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Neutral,4.766,30.164,32.364,13,Somewhat Agree,Disagree,Agree,Disagree,Somewhat Agree,Disagree,Agree,Disagree,Somewhat Agree,Neutral,5.701,42.51,43.473,19,Disagree,Neutral,Disagree,Neutral,Somewhat Disagree,Somewhat Disagree,Disagree,Disagree,Disagree,Disagree,5.084,33.629,34.8,13,Somewhat Agree,Disagree,Neutral,Disagree,Somewhat Agree,Disagree,Agree,Disagree,Agree,Somewhat Agree,24.595,67.189,68.49,14
9/15/2020 22:37,9/15/2020 22:42,IP Address,76.85.71.204,100,295,TRUE,9/15/2020 22:42,R_2tfk0IcvyiE2ZwC,,,,,33.03909302,-97.07640076,anonymous,EN,Consultant,,Healthcare,,Prefer to not respond,,Male,Engineering,,India,,Neutral,Neutral,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Disagree,Neutral,Somewhat Agree,Neutral,Agree,6.382,48.269,49.692,15,Somewhat Disagree,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Agree,Neutral,Disagree,Somewhat Agree,Neutral,Somewhat Agree,7.007,53.372,54.513,22,Somewhat Disagree,Somewhat Disagree,Agree,Neutral,Disagree,Somewhat Disagree,Somewhat Agree,Disagree,Somewhat Disagree,Agree,7.257,49.435,50.553,15,Disagree,Somewhat Agree,Neutral,Disagree,Somewhat Disagree,Disagree,Neutral,Disagree,Disagree,Neutral,5.092,48.231,49.651,14,Neutral,Somewhat Disagree,Agree,Disagree,Somewhat Agree,Agree,Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,4.72,49.268,52.601,19
9/15/2020 22:33,9/15/2020 22:44,IP Address,64.187.168.199,100,663,TRUE,9/15/2020 22:44,R_3RmDxy7RFCtoDrT,,,,,47.61090088,-122.3302994,anonymous,EN,Business Intelligence,,Technology,,"Washingon, DC",,Female,Engineering,,India,,Somewhat Disagree,Agree,Neutral,Agree,Somewhat Disagree,Somewhat Agree,Disagree,Disagree,Somewhat Disagree,Somewhat Agree,8.501,58.547,59.479,18,Agree,Somewhat Agree,Disagree,Agree,Somewhat Disagree,Agree,Disagree,Somewhat Agree,Agree,Agree,4.602,28.929,29.755,13,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Neutral,Somewhat Disagree,Agree,Disagree,Somewhat Agree,Somewhat Agree,3.363,39.789,40.993,17,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Disagree,Disagree,Neutral,Somewhat Disagree,3.064,30.548,31.581,12,Somewhat Disagree,Somewhat Disagree,Neutral,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Agree,Disagree,Somewhat Agree,Somewhat Agree,6.501,34.284,35.087,14
9/15/2020 22:38,9/15/2020 22:44,IP Address,218.212.186.70,100,390,TRUE,9/15/2020 22:44,R_2PinCRjKcxAjw1e,,,,,1.283996582,103.831604,anonymous,EN,Business Intelligence,,Technology,,Singapore,,Male,Other Business,,Other,Taiwan,Disagree,Somewhat Disagree,Agree,Somewhat Disagree,Somewhat Agree,Disagree,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Agree,15.104,68.403,69.319,14,Neutral,Somewhat Disagree,Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Disagree,Somewhat Agree,Somewhat Agree,Neutral,40.273,80.467,81.674,16,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Agree,19.782,55.175,56.327,12,Agree,Somewhat Disagree,Somewhat Agree,Neutral,Somewhat Disagree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,34.293,64.186,65.527,13,Somewhat Disagree,Agree,Somewhat Disagree,Agree,Neutral,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Neutral,Somewhat Disagree,23,51.372,56.697,13
9/15/2020 22:41,9/15/2020 22:45,IP Address,204.246.162.38,100,241,TRUE,9/15/2020 22:45,R_2Ylcqm57GsRoFjv,,,,,47.63479614,-122.3451004,anonymous,EN,Data Scientist/Engineer,,Technology,,"Seattle, WA",,Male,Engineering,,India,,Somewhat Disagree,Somewhat Agree,Neutral,Agree,Neutral,Somewhat Disagree,Disagree,Neutral,Neutral,Somewhat Agree,12.485,46.363,47.261,10,Somewhat Agree,Somewhat Agree,Disagree,Agree,Somewhat Disagree,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Agree,6.218,29.459,30.504,10,Somewhat Agree,Disagree,Agree,Disagree,Neutral,Somewhat Disagree,Agree,Disagree,Agree,Neutral,10.364,60.875,62.492,10,Somewhat Disagree,Somewhat Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Somewhat Disagree,Neutral,2.934,27.982,31.007,10,Neutral,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Neutral,Neutral,Somewhat Agree,Neutral,Agree,Somewhat Agree,6.649,33.305,34.825,10
9/15/2020 22:38,9/15/2020 22:45,IP Address,66.215.197.252,100,416,TRUE,9/15/2020 22:45,R_3LYLmacWwWWzb4h,,,,,34.10549927,-117.585495,anonymous,EN,Business Intelligence,,Healthcare,,"Los Angeles, CA",,Male,"Computer Science,Economics,Other Business",,India,,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,5.67,31.909,32.998,15,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,7.49,62.55,67.045,13,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,12.339,42.598,43.588,13,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,2.653,197.322,199.632,20,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,2.102,19.758,20.657,12
9/15/2020 22:42,9/15/2020 22:45,IP Address,172.98.129.178,100,179,TRUE,9/15/2020 22:45,R_R1SERF1kMA8rQqJ,,,,,39.8704071,-86.21659851,anonymous,EN,Consultant,,Healthcare,,"San Francisco, CA",,Male,Computer Science,,India,,Disagree,Disagree,Somewhat Disagree,Agree,Somewhat Disagree,Neutral,Disagree,Agree,Disagree,Agree,3.401,28.514,29.48,15,Agree,Neutral,Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Agree,Somewhat Agree,Agree,10.885,29.997,30.778,12,Somewhat Agree,Somewhat Agree,Agree,Somewhat Disagree,Somewhat Agree,Neutral,Somewhat Agree,Disagree,Somewhat Agree,Somewhat Agree,1.901,25.263,26.099,12,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,3.001,16.556,17.496,13,Somewhat Agree,Disagree,Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Agree,Disagree,Somewhat Disagree,Agree,2.302,38.901,39.855,13
9/15/2020 22:40,9/15/2020 22:49,IP Address,173.230.65.96,100,562,TRUE,9/15/2020 22:49,R_V2bn9sFdIIJfyaB,,,,,40.73620605,-74.04219818,anonymous,EN,Analyst,,Finance,,Other,"Richmond, VA",Male,Engineering,,India,,Neutral,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Disagree,Neutral,Somewhat Agree,Neutral,Somewhat Agree,9.364,96.818,97.724,15,Neutral,Agree,Disagree,Agree,Somewhat Disagree,Agree,Somewhat Disagree,Agree,Somewhat Agree,Agree,23.477,76.1,77.1,15,Somewhat Agree,Disagree,Somewhat Agree,Somewhat Disagree,Neutral,Disagree,Somewhat Agree,Disagree,Somewhat Agree,Neutral,5.887,103.842,104.758,14,Somewhat Disagree,Neutral,Somewhat Agree,Neutral,Disagree,Disagree,Neutral,Neutral,Somewhat Disagree,Neutral,3.965,112.644,117.621,15,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Neutral,Neutral,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Agree,Neutral,6.274,53.95,55.427,15
9/15/2020 22:46,9/15/2020 22:51,IP Address,174.236.9.87,100,297,TRUE,9/15/2020 22:51,R_1KrkTKEOHRoyMIy,,,,,36.02839661,-95.93060303,anonymous,EN,Consultant,,Consulting,,"Chicago, IL",,Female,Other Business,,India,,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,17.96,52.124,53.666,14,Disagree,Agree,Disagree,Agree,Neutral,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Agree,Agree,2.005,49.071,50.033,15,Somewhat Agree,Disagree,Agree,Disagree,Somewhat Agree,Disagree,Somewhat Agree,Disagree,Somewhat Agree,Somewhat Agree,3.814,33.185,34.753,12,Neutral,Neutral,Neutral,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,3.499,45.601,47.014,13,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Neutral,Neutral,Somewhat Disagree,Neutral,Somewhat Disagree,Agree,Neutral,2.698,40.181,41.641,12
9/15/2020 22:43,9/15/2020 22:54,IP Address,73.252.141.170,100,642,TRUE,9/15/2020 22:54,R_Drg8UdaHVQnYlKF,,,,,37.47200012,-122.2312012,anonymous,EN,Data Scientist/Engineer,,Technology,,"San Francisco, CA",,Male,Engineering,,India,,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Agree,Disagree,Somewhat Agree,11.831,159.311,167.966,19,Somewhat Disagree,Somewhat Agree,Disagree,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Neutral,32.316,134.893,157.649,15,Somewhat Agree,Somewhat Agree,Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Neutral,Somewhat Disagree,Disagree,Somewhat Agree,6.175,64.05,133.785,14,Somewhat Disagree,Neutral,Somewhat Disagree,Neutral,Disagree,Disagree,Disagree,Disagree,Somewhat Agree,Disagree,3.351,50.479,57.694,19,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Agree,Neutral,Neutral,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,5.132,52.67,56.87,13
9/15/2020 22:51,9/15/2020 22:56,IP Address,76.170.40.187,100,307,TRUE,9/15/2020 22:56,R_129GkN2NO4NVFa8,,,,,34.00300598,-118.4297943,anonymous,EN,Analyst,,Marketing,,"Los Angeles, CA",,Male,Economics,,China,,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neutral,Neutral,Neutral,Neutral,Somewhat Agree,Somewhat Agree,9.459,52.93,53.699,10,Neutral,Neutral,Disagree,Somewhat Agree,Neutral,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Agree,5.055,36.522,37.235,10,Agree,Agree,Agree,Disagree,Somewhat Disagree,Disagree,Somewhat Agree,Somewhat Disagree,Neutral,Neutral,1.771,38.008,44.247,20,Disagree,Somewhat Agree,Neutral,Somewhat Agree,Neutral,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,2.722,21.761,22.517,11,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Agree,2.275,23.218,23.773,11
